aya_index,text
3,<b>الرحمن 1</b> الرحمن 
12,<b>لقمان 5</b>أولئك على هدى من ربهم وأولئك هم المفلحون 
41,<b>طه 116</b>وإذ قلنا للملائكة اسجدوا لآدم فسجدوا إلا إبليس أبى 
54,<b>البقرة 122</b>يا بني إسرائيل اذكروا نعمتي التي أنعمت عليكم وأني فضلتكم على العالمين 
55,<b>البقرة 123</b>واتقوا يوما لا تجزي نفس عن نفس شيئا ولا يقبل منها عدل ولا تنفعها شفاعة ولا هم ينصرون 
56,<b>الأعراف 141</b>وإذ أنجيناكم من آل فرعون يسومونكم سوء العذاب يقتلون أبناءكم ويستحيون نساءكم وفي ذلكم بلاء من ربكم عظيم 
69,<b>المائدة 69</b>إن الذين آمنوا والذين هادوا والصابئون والنصارى من آمن بالله واليوم الآخر وعمل صالحا فلا خوف عليهم ولا هم يحزنون 
89,<b>الأعراف 42</b>والذين آمنوا وعملوا الصالحات لا نكلف نفسا إلا وسعها أولئك أصحاب الجنة هم فيها خالدون 
114,<b>التوبة 116</b>إن الله له ملك السماوات والأرض يحيي ويميت وما لكم من دون الله من ولي ولا نصير 
129,<b>البقرة 47</b>يا بني إسرائيل اذكروا نعمتي التي أنعمت عليكم وأني فضلتكم على العالمين 
130,<b>البقرة 48</b>واتقوا يوما لا تجزي نفس عن نفس شيئا ولا يقبل منها شفاعة ولا يؤخذ منها عدل ولا هم ينصرون 
141,<b>البقرة 141</b>تلك أمة قد خلت لها ما كسبت ولكم ما كسبتم ولا تسألون عما كانوا يعملون 
143,<b>آل عمران 84</b>قل آمنا بالله وما أنزل علينا وما أنزل على إبراهيم وإسماعيل وإسحاق ويعقوب والأسباط وما أوتي موسى وعيسى والنبيون من ربهم لا نفرق بين أحد منهم ونحن له مسلمون 
148,<b>البقرة 134</b>تلك أمة قد خلت لها ما كسبت ولكم ما كسبتم ولا تسألون عما كانوا يعملون 
154,<b>آل عمران 60</b>الحق من ربك فلا تكن من الممترين 
169,<b>آل عمران 88</b>خالدين فيها لا يخفف عنهم العذاب ولا هم ينظرون 
180,<b>النحل 115</b>إنما حرم عليكم الميتة والدم ولحم الخنزير وما أهل لغير الله به فمن اضطر غير باغ ولا عاد فإن الله غفور رحيم 
303,<b>آل عمران 116</b>إن الذين كفروا لن تغني عنهم أموالهم ولا أولادهم من الله شيئا وأولئك أصحاب النار هم فيها خالدون 
344,"<b>مريم 36</b>وإن الله ربي وربكم فاعبدوه هذا صراط مستقيم ,<b>الزخرف 64</b>إن الله هو ربي وربكم فاعبدوه هذا صراط مستقيم "
353,<b>البقرة 147</b>الحق من ربك فلا تكونن من الممترين 
377,<b>البقرة 136</b>قولوا آمنا بالله وما أنزل إلينا وما أنزل إلى إبراهيم وإسماعيل وإسحاق ويعقوب والأسباط وما أوتي موسى وعيسى وما أوتي النبيون من ربهم لا نفرق بين أحد منهم ونحن له مسلمون 
381,<b>البقرة 162</b>خالدين فيها لا يخفف عنهم العذاب ولا هم ينظرون 
382,<b>النور 5</b>إلا الذين تابوا من بعد ذلك وأصلحوا فإن الله غفور رحيم 
409,"<b>آل عمران 10</b>إن الذين كفروا لن تغني عنهم أموالهم ولا أولادهم من الله شيئا وأولئك هم وقود النار ,<b>المجادلة 17</b>لن تغني عنهم أموالهم ولا أولادهم من الله شيئا أولئك أصحاب النار هم فيها خالدون "
419,<b>الأنفال 10</b>وما جعله الله إلا بشرى ولتطمئن به قلوبكم وما النصر إلا من عند الله إن الله عزيز حكيم 
475,"<b>الأنفال 51</b>ذلك بما قدمت أيديكم وأن الله ليس بظلام للعبيد ,<b>الحج 10</b>ذلك بما قدمت يداك وأن الله ليس بظلام للعبيد "
541,<b>النساء 116</b>إن الله لا يغفر أن يشرك به ويغفر ما دون ذلك لمن يشاء ومن يشرك بالله فقد ضل ضلالا بعيدا 
609,<b>النساء 48</b>إن الله لا يغفر أن يشرك به ويغفر ما دون ذلك لمن يشاء ومن يشرك بالله فقد افترى إثما عظيما 
679,<b>المائدة 86</b>والذين كفروا وكذبوا بآياتنا أولئك أصحاب الجحيم 
738,<b>البقرة 62</b>إن الذين آمنوا والذين هادوا والنصارى والصابئين من آمن بالله واليوم الآخر وعمل صالحا فلهم أجرهم عند ربهم ولا خوف عليهم ولا هم يحزنون 
755,<b>المائدة 10</b>والذين كفروا وكذبوا بآياتنا أولئك أصحاب الجحيم 
761,<b>التغابن 12</b>وأطيعوا الله وأطيعوا الرسول فإن توليتم فإنما على رسولنا البلاغ المبين 
793,<b>يس 46</b>وما تأتيهم من آية من آيات ربهم إلا كانوا عنها معرضين 
799,<b>الأنبياء 41</b>ولقد استهزئ برسل من قبلك فحاق بالذين سخروا منهم ما كانوا به يستهزئون 
804,<b>الزمر 13</b>قل إني أخاف إن عصيت ربي عذاب يوم عظيم 
810,<b>يونس 17</b>فمن أظلم ممن افترى على الله كذبا أو كذب بآياته إنه لا يفلح المجرمون 
818,<b>المؤمنون 37</b>إن هي إلا حياتنا الدنيا نموت ونحيا وما نحن بمبعوثين 
906,<b>القلم 7</b>إن ربك هو أعلم بمن ضل عن سبيله وهو أعلم بالمهتدين 
962,<b>المؤمنون 102</b>فمن ثقلت موازينه فأولئك هم المفلحون 
966,<b>ص 76</b>قال أنا خير منه خلقتني من نار وخلقته من طين 
996,<b>البقرة 82</b>والذين آمنوا وعملوا الصالحات أولئك أصحاب الجنة هم فيها خالدون 
999,<b>هود 19</b>الذين يصدون عن سبيل الله ويبغونها عوجا وهم بالآخرة هم كافرون 
1015,<b>الأعراف 67</b>قال يا قوم ليس بي سفاهة ولكني رسول من رب العالمين 
1019,<b>هود 50</b>وإلى عاد أخاهم هودا قال يا قوم اعبدوا الله ما لكم من إله غيره إن أنتم إلا مفترون 
1021,<b>الأعراف 61</b>قال يا قوم ليس بي ضلالة ولكني رسول من رب العالمين 
1032,"<b>الأعراف 91</b>فأخذتهم الرجفة فأصبحوا في دارهم جاثمين ,<b>العنكبوت 37</b>فكذبوه فأخذتهم الرجفة فأصبحوا في دارهم جاثمين "
1034,<b>العنكبوت 28</b>ولوطا إذ قال لقومه إنكم لتأتون الفاحشة ما سبقكم بها من أحد من العالمين 
1037,<b>النمل 57</b>فأنجيناه وأهله إلا امرأته قدرناها من الغابرين 
1045,"<b>الأعراف 78</b>فأخذتهم الرجفة فأصبحوا في دارهم جاثمين ,<b>العنكبوت 37</b>فكذبوه فأخذتهم الرجفة فأصبحوا في دارهم جاثمين "
1061,<b>الشعراء 32</b>فألقى عصاه فإذا هي ثعبان مبين 
1062,<b>الشعراء 33</b>ونزع يده فإذا هي بيضاء للناظرين 
1064,<b>الشعراء 35</b>يريد أن يخرجكم من أرضكم بسحره فماذا تأمرون 
1065,<b>الشعراء 36</b>قالوا أرجه وأخاه وابعث في المدائن حاشرين 
1068,<b>الشعراء 42</b>قال نعم وإنكم إذا لمن المقربين 
1075,<b>الشعراء 47</b>قالوا آمنا برب العالمين 
1076,<b>الشعراء 48</b>رب موسى وهارون 
1079,<b>الشعراء 50</b>قالوا لا ضير إنا إلى ربنا منقلبون 
1095,<b>البقرة 49</b>وإذ نجيناكم من آل فرعون يسومونكم سوء العذاب يذبحون أبناءكم ويستحيون نساءكم وفي ذلكم بلاء من ربكم عظيم 
1137,<b>القلم 45</b>وأملي لهم إن كيدي متين 
1170,<b>آل عمران 126</b>وما جعله الله إلا بشرى لكم ولتطمئن قلوبكم به وما النصر إلا من عند الله العزيز الحكيم 
1173,<b>الحشر 4</b>ذلك بأنهم شاقوا الله ورسوله ومن يشاق الله فإن الله شديد العقاب 
1211,"<b>آل عمران 182</b>ذلك بما قدمت أيديكم وأن الله ليس بظلام للعبيد ,<b>الحج 10</b>ذلك بما قدمت يداك وأن الله ليس بظلام للعبيد "
1268,<b>الصف 9</b>هو الذي أرسل رسوله بالهدى ودين الحق ليظهره على الدين كله ولو كره المشركون 
1308,<b>التحريم 9</b>يا أيها النبي جاهد الكفار والمنافقين واغلظ عليهم ومأواهم جهنم وبئس المصير 
1351,<b>البقرة 107</b>ألم تعلم أن الله له ملك السماوات والأرض وما لكم من دون الله من ولي ولا نصير 
1381,<b>الأنعام 21</b>ومن أظلم ممن افترى على الله كذبا أو كذب بآياته إنه لا يفلح الظالمون 
1402,<b>هود 13</b>أم يقولون افتراه قل فأتوا بعشر سور مثله مفتريات وادعوا من استطعتم من دون الله إن كنتم صادقين 
1412,"<b>الأنبياء 38</b>ويقولون متى هذا الوعد إن كنتم صادقين ,<b>النمل 71</b>ويقولون متى هذا الوعد إن كنتم صادقين ,<b>السجدة 28</b>ويقولون متى هذا الفتح إن كنتم صادقين ,<b>سبأ 29</b>ويقولون متى هذا الوعد إن كنتم صادقين ,<b>يس 48</b>ويقولون متى هذا الوعد إن كنتم صادقين ,<b>الملك 25</b>ويقولون متى هذا الوعد إن كنتم صادقين "
1427,"<b>النمل 53</b>وأنجينا الذين آمنوا وكانوا يتقون ,<b>فصلت 18</b>ونجينا الذين آمنوا وكانوا يتقون "
1444,<b>الشعراء 43</b>قال لهم موسى ألقوا ما أنتم ملقون 
1486,<b>يونس 38</b>أم يقولون افتراه قل فأتوا بسورة مثله وادعوا من استطعتم من دون الله إن كنتم صادقين 
1492,<b>الأعراف 45</b>الذين يصدون عن سبيل الله ويبغونها عوجا وهم بالآخرة كافرون 
1495,<b>النحل 109</b>لا جرم أنهم في الآخرة هم الخاسرون 
1512,<b>الزمر 40</b>من يأتيه عذاب يخزيه ويحل عليه عذاب مقيم 
1523,<b>الأعراف 65</b>وإلى عاد أخاهم هودا قال يا قوم اعبدوا الله ما لكم من إله غيره أفلا تتقون 
1569,<b>غافر 23</b>ولقد أرسلنا موسى بآياتنا وسلطان مبين 
1583,<b>فصلت 45</b>ولقد آتينا موسى الكتاب فاختلف فيه ولولا كلمة سبقت من ربك لقضي بينهم وإنهم لفي شك منه مريب 
1598,<b>الزخرف 3</b>إنا جعلناه قرآنا عربيا لعلكم تعقلون 
1618,<b>القصص 14</b>ولما بلغ أشده واستوى آتيناه حكما وعلما وكذلك نجزي المحسنين 
1770,<b>فاطر 17</b>وما ذلك على الله بعزيز 
1807,<b>المؤمنون 43</b>ما تسبق من أمة أجلها وما يستأخرون 
1813,<b>الزخرف 7</b>وما يأتيهم من نبي إلا كانوا به يستهزئون 
1821,<b>ق 7</b>والأرض مددناها وألقينا فيها رواسي وأنبتنا فيها من كل زوج بهيج 
1831,<b>ص 72</b>فإذا سويته ونفخت فيه من روحي فقعوا له ساجدين 
1832,<b>ص 73</b>فسجد الملائكة كلهم أجمعون 
1836,<b>ص 77</b>قال فاخرج منها فإنك رجيم 
1837,<b>ص 78</b>وإن عليك لعنتي إلى يوم الدين 
1838,<b>ص 79</b>قال رب فأنظرني إلى يوم يبعثون 
1839,<b>ص 80</b>قال فإنك من المنظرين 
1840,<b>ص 81</b>إلى يوم الوقت المعلوم 
1842,<b>ص 83</b>إلا عبادك منهم المخلصين 
1847,<b>الذاريات 15</b>إن المتقين في جنات وعيون 
1859,<b>الذاريات 31</b>قال فما خطبكم أيها المرسلون 
1860,<b>الذاريات 32</b>قالوا إنا أرسلنا إلى قوم مجرمين 
1935,<b>الجاثية 33</b>وبدا لهم سيئات ما عملوا وحاق بهم ما كانوا به يستهزئون 
1943,<b>العنكبوت 59</b>الذين صبروا وعلى ربهم يتوكلون 
1944,<b>الأنبياء 7</b>وما أرسلنا قبلك إلا رجالا نوحي إليهم فاسألوا أهل الذكر إن كنتم لا تعلمون 
1956,<b>الروم 34</b>ليكفروا بما آتيناهم فتمتعوا فسوف تعلمون 
2010,<b>هود 22</b>لا جرم أنهم في الآخرة هم الأخسرون 
2016,<b>البقرة 173</b>إنما حرم عليكم الميتة والدم ولحم الخنزير وما أهل به لغير الله فمن اضطر غير باغ ولا عاد فلا إثم عليه إن الله غفور رحيم 
2077,<b>الفرقان 9</b>انظر كيف ضربوا لك الأمثال فضلوا فلا يستطيعون سبيلا 
2112,<b>فصلت 51</b>وإذا أنعمنا على الإنسان أعرض ونأى بجانبه وإذا مسه الشر فذو دعاء عريض 
2207,"<b>الكهف 72</b>قال ألم أقل إنك لن تستطيع معي صبرا ,<b>الكهف 75</b>قال ألم أقل لك إنك لن تستطيع معي صبرا "
2212,"<b>الكهف 67</b>قال إنك لن تستطيع معي صبرا ,<b>الكهف 75</b>قال ألم أقل لك إنك لن تستطيع معي صبرا "
2215,"<b>الكهف 67</b>قال إنك لن تستطيع معي صبرا ,<b>الكهف 72</b>قال ألم أقل إنك لن تستطيع معي صبرا "
2229,<b>الكهف 92</b>ثم أتبع سببا 
2232,<b>الكهف 89</b>ثم أتبع سببا 
2286,"<b>آل عمران 51</b>إن الله ربي وربكم فاعبدوه هذا صراط مستقيم ,<b>الزخرف 64</b>إن الله هو ربي وربكم فاعبدوه هذا صراط مستقيم "
2291,<b>مريم 56</b>واذكر في الكتاب إدريس إنه كان صديقا نبيا 
2306,<b>مريم 41</b>واذكر في الكتاب إبراهيم إنه كان صديقا نبيا 
2372,<b>النازعات 17</b>اذهب إلى فرعون إنه طغى 
2464,<b>البقرة 34</b>وإذ قلنا للملائكة اسجدوا لآدم فسجدوا إلا إبليس أبى واستكبر وكان من الكافرين 
2476,<b>السجدة 26</b>أولم يهد لهم كم أهلكنا من قبلهم من القرون يمشون في مساكنهم إن في ذلك لآيات أفلا يسمعون 
2490,<b>النحل 43</b>وما أرسلنا من قبلك إلا رجالا نوحي إليهم فاسألوا أهل الذكر إن كنتم لا تعلمون 
2497,<b>القلم 31</b>قالوا يا ويلنا إنا كنا طاغين 
2499,<b>الدخان 38</b>وما خلقنا السماوات والأرض وما بينهما لاعبين 
2521,"<b>يونس 48</b>ويقولون متى هذا الوعد إن كنتم صادقين ,<b>النمل 71</b>ويقولون متى هذا الوعد إن كنتم صادقين ,<b>السجدة 28</b>ويقولون متى هذا الفتح إن كنتم صادقين ,<b>سبأ 29</b>ويقولون متى هذا الوعد إن كنتم صادقين ,<b>يس 48</b>ويقولون متى هذا الوعد إن كنتم صادقين ,<b>الملك 25</b>ويقولون متى هذا الوعد إن كنتم صادقين "
2524,<b>الأنعام 10</b>ولقد استهزئ برسل من قبلك فحاق بالذين سخروا منهم ما كانوا به يستهزئون 
2605,"<b>آل عمران 182</b>ذلك بما قدمت أيديكم وأن الله ليس بظلام للعبيد ,<b>الأنفال 51</b>ذلك بما قدمت أيديكم وأن الله ليس بظلام للعبيد "
2657,<b>لقمان 30</b>ذلك بأن الله هو الحق وأن ما يدعون من دونه الباطل وأن الله هو العلي الكبير 
2678,<b>المعارج 29</b>والذين هم لفروجهم حافظون 
2679,<b>المعارج 30</b>إلا على أزواجهم أو ما ملكت أيمانهم فإنهم غير ملومين 
2680,<b>المعارج 31</b>فمن ابتغى وراء ذلك فأولئك هم العادون 
2681,<b>المعارج 32</b>والذين هم لأماناتهم وعهدهم راعون 
2699,<b>المؤمنون 39</b>قال رب انصرني بما كذبون 
2704,<b>المؤمنون 42</b>ثم أنشأنا من بعدهم قرونا آخرين 
2710,<b>الأنعام 29</b>وقالوا إن هي إلا حياتنا الدنيا وما نحن بمبعوثين 
2712,<b>المؤمنون 26</b>قال رب انصرني بما كذبون 
2715,<b>المؤمنون 31</b>ثم أنشأنا من بعدهم قرنا آخرين 
2716,<b>الحجر 5</b>ما تسبق من أمة أجلها وما يستأخرون 
2755,<b>الصافات 16</b>أإذا متنا وكنا ترابا وعظاما أإنا لمبعوثون 
2756,<b>النمل 68</b>لقد وعدنا هذا نحن وآباؤنا من قبل إن هذا إلا أساطير الأولين 
2775,<b>الأعراف 8</b>والوزن يومئذ الحق فمن ثقلت موازينه فأولئك هم المفلحون 
2796,<b>آل عمران 89</b>إلا الذين تابوا من بعد ذلك وأصلحوا فإن الله غفور رحيم 
2864,<b>الإسراء 48</b>انظر كيف ضربوا لك الأمثال فضلوا فلا يستطيعون سبيلا 
2934,<b>القصص 2</b>تلك آيات الكتاب المبين 
2940,"<b>الشعراء 67</b>إن في ذلك لآية وما كان أكثرهم مؤمنين ,<b>الشعراء 103</b>إن في ذلك لآية وما كان أكثرهم مؤمنين ,<b>الشعراء 121</b>إن في ذلك لآية وما كان أكثرهم مؤمنين ,<b>الشعراء 139</b>فكذبوه فأهلكناهم إن في ذلك لآية وما كان أكثرهم مؤمنين ,<b>الشعراء 158</b>فأخذهم العذاب إن في ذلك لآية وما كان أكثرهم مؤمنين ,<b>الشعراء 174</b>إن في ذلك لآية وما كان أكثرهم مؤمنين ,<b>الشعراء 190</b>إن في ذلك لآية وما كان أكثرهم مؤمنين "
2941,"<b>الشعراء 68</b>وإن ربك لهو العزيز الرحيم ,<b>الشعراء 104</b>وإن ربك لهو العزيز الرحيم ,<b>الشعراء 122</b>وإن ربك لهو العزيز الرحيم ,<b>الشعراء 140</b>وإن ربك لهو العزيز الرحيم ,<b>الشعراء 159</b>وإن ربك لهو العزيز الرحيم ,<b>الشعراء 175</b>وإن ربك لهو العزيز الرحيم ,<b>الشعراء 191</b>وإن ربك لهو العزيز الرحيم "
2956,<b>الدخان 7</b>رب السماوات والأرض وما بينهما إن كنتم موقنين 
2964,<b>الأعراف 107</b>فألقى عصاه فإذا هي ثعبان مبين 
2965,<b>الأعراف 108</b>ونزع يده فإذا هي بيضاء للناظرين 
2967,<b>الأعراف 110</b>يريد أن يخرجكم من أرضكم فماذا تأمرون 
2968,<b>الأعراف 111</b>قالوا أرجه وأخاه وأرسل في المدائن حاشرين 
2974,<b>الأعراف 114</b>قال نعم وإنكم لمن المقربين 
2975,<b>يونس 80</b>فلما جاء السحرة قال لهم موسى ألقوا ما أنتم ملقون 
2979,<b>الأعراف 121</b>قالوا آمنا برب العالمين 
2980,<b>الأعراف 122</b>رب موسى وهارون 
2982,<b>الأعراف 125</b>قالوا إنا إلى ربنا منقلبون 
2998,<b>الصافات 82</b>ثم أغرقنا الآخرين 
2999,"<b>الشعراء 8</b>إن في ذلك لآية وما كان أكثرهم مؤمنين ,<b>الشعراء 103</b>إن في ذلك لآية وما كان أكثرهم مؤمنين ,<b>الشعراء 121</b>إن في ذلك لآية وما كان أكثرهم مؤمنين ,<b>الشعراء 139</b>فكذبوه فأهلكناهم إن في ذلك لآية وما كان أكثرهم مؤمنين ,<b>الشعراء 158</b>فأخذهم العذاب إن في ذلك لآية وما كان أكثرهم مؤمنين ,<b>الشعراء 174</b>إن في ذلك لآية وما كان أكثرهم مؤمنين ,<b>الشعراء 190</b>إن في ذلك لآية وما كان أكثرهم مؤمنين "
3000,"<b>الشعراء 9</b>وإن ربك لهو العزيز الرحيم ,<b>الشعراء 104</b>وإن ربك لهو العزيز الرحيم ,<b>الشعراء 122</b>وإن ربك لهو العزيز الرحيم ,<b>الشعراء 140</b>وإن ربك لهو العزيز الرحيم ,<b>الشعراء 159</b>وإن ربك لهو العزيز الرحيم ,<b>الشعراء 175</b>وإن ربك لهو العزيز الرحيم ,<b>الشعراء 191</b>وإن ربك لهو العزيز الرحيم "
3002,<b>الصافات 85</b>إذ قال لأبيه وقومه ماذا تعبدون 
3035,"<b>الشعراء 8</b>إن في ذلك لآية وما كان أكثرهم مؤمنين ,<b>الشعراء 67</b>إن في ذلك لآية وما كان أكثرهم مؤمنين ,<b>الشعراء 121</b>إن في ذلك لآية وما كان أكثرهم مؤمنين ,<b>الشعراء 139</b>فكذبوه فأهلكناهم إن في ذلك لآية وما كان أكثرهم مؤمنين ,<b>الشعراء 158</b>فأخذهم العذاب إن في ذلك لآية وما كان أكثرهم مؤمنين ,<b>الشعراء 174</b>إن في ذلك لآية وما كان أكثرهم مؤمنين ,<b>الشعراء 190</b>إن في ذلك لآية وما كان أكثرهم مؤمنين "
3036,"<b>الشعراء 9</b>وإن ربك لهو العزيز الرحيم ,<b>الشعراء 68</b>وإن ربك لهو العزيز الرحيم ,<b>الشعراء 122</b>وإن ربك لهو العزيز الرحيم ,<b>الشعراء 140</b>وإن ربك لهو العزيز الرحيم ,<b>الشعراء 159</b>وإن ربك لهو العزيز الرحيم ,<b>الشعراء 175</b>وإن ربك لهو العزيز الرحيم ,<b>الشعراء 191</b>وإن ربك لهو العزيز الرحيم "
3038,"<b>الشعراء 124</b>إذ قال لهم أخوهم هود ألا تتقون ,<b>الشعراء 142</b>إذ قال لهم أخوهم صالح ألا تتقون ,<b>الشعراء 161</b>إذ قال لهم أخوهم لوط ألا تتقون "
3039,"<b>الشعراء 125</b>إني لكم رسول أمين ,<b>الشعراء 143</b>إني لكم رسول أمين ,<b>الشعراء 162</b>إني لكم رسول أمين ,<b>الشعراء 178</b>إني لكم رسول أمين "
3040,"<b>الشعراء 110</b>فاتقوا الله وأطيعون ,<b>الشعراء 126</b>فاتقوا الله وأطيعون ,<b>الشعراء 131</b>فاتقوا الله وأطيعون ,<b>الشعراء 144</b>فاتقوا الله وأطيعون ,<b>الشعراء 150</b>فاتقوا الله وأطيعون ,<b>الشعراء 163</b>فاتقوا الله وأطيعون ,<b>الشعراء 179</b>فاتقوا الله وأطيعون "
3041,"<b>الشعراء 127</b>وما أسألكم عليه من أجر إن أجري إلا على رب العالمين ,<b>الشعراء 145</b>وما أسألكم عليه من أجر إن أجري إلا على رب العالمين ,<b>الشعراء 164</b>وما أسألكم عليه من أجر إن أجري إلا على رب العالمين ,<b>الشعراء 180</b>وما أسألكم عليه من أجر إن أجري إلا على رب العالمين "
3042,"<b>الشعراء 108</b>فاتقوا الله وأطيعون ,<b>الشعراء 126</b>فاتقوا الله وأطيعون ,<b>الشعراء 131</b>فاتقوا الله وأطيعون ,<b>الشعراء 144</b>فاتقوا الله وأطيعون ,<b>الشعراء 150</b>فاتقوا الله وأطيعون ,<b>الشعراء 163</b>فاتقوا الله وأطيعون ,<b>الشعراء 179</b>فاتقوا الله وأطيعون "
